Proteins
MaxQuant:feature intensity,ass_0,ass_1,ass_2,ass_3,ass_4,ass_5,ass_6,ass_7,SV_config_2,SV_config_1,SV_config_1_L,SV_config_2_H,SV_config_2_L,SV_config_1_H
prot_228,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_229,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_230,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_231,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_232,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,317110.0,0.0,0.0,258870.0
prot_233,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_234,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_235,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_236,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1776800.0,782750.0,812150.0,2006700.0
prot_237,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,1426800.0,1611100.0,0.0
prot_238,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_239,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_240,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_241,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_242,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_243,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_244,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_245,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1606400.0,563900.0,741940.0,1049000.0
prot_246,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_247,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_248,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_249,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_250,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_251,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_252,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_253,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,490390.0,0.0,0.0,293750.0
prot_254,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1.1628E8,6.0805E7,8.1746E7,9.0759E7
prot_255,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,562050.0,233200.0,290810.0,493870.0
prot_256,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_257,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_258,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_259,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_260,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_261,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,511720.0,0.0,0.0,266100.0
prot_262,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_263,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_264,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_265,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
