Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	Only identified by site	Reverse	Contaminant	t-test Significant	PEP	Intensity	Unique peptides	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Peptide IDs	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	-Log t-test p value	t-test Difference	Protein IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
#!{C:Group1}puf3	puf3	puf3	puf3	puf3	wt	wt	wt	wt	wt																																	
19.24088	24.49479	19.27932	21.66744	24.3181	21.06013	19.15598	20.66397	18.36836	21.77804					3.2854E-51	56536000	3	1	1	0	1	3	2	1	1	0	1	8.8	NaN	3.3	3.5	0	3.5	8.8	5.5	3.3	3.5	0	3.5	0.587173613962853	1.59481086730957	YHR066W;YDR312W	YHR066W;YDR312W
27.22757	27.96851	28.10164	27.70589	28.1308	27.60329	27.57571	27.29378	27.29885	27.377					2.1165E-145	2128600000	16	8	12	11	7	10	8	8	8	7	10	48.8	NaN	28.7	38.2	37.2	26.1	30	29.2	30	27.4	26.6	36.2	1.22946134832091	0.397158050537108	YHR068W	YHR068W
21.85878	21.40067	23.80912	21.49843	22.96222	23.27355	23.39454	19.09452	23.00412	21.94785					1.7206E-14	66030000	4	1	1	3	1	2	2	2	0	2	2	14.2	NaN	4.2	4.2	10.9	4.2	8.6	8.6	8.6	0	8.6	7.5	0.0628793788119064	0.162929534912109	YHR069C	YHR069C
23.90802	23.4438	24.46619	23.86401	24.50197	23.43784	23.09154	22.6445	23.66796	23.62087				+	7.8356E-41	142440000	6	3	2	4	2	4	3	2	2	4	2	14.8	NaN	8.8	3.4	11	5	10.4	7	5	5	10.4	5	1.56185826131594	0.744258117675781	YHR070W	YHR070W
24.73841	24.62606	23.4381	24.7083	24.69535	24.62945	25.25555	24.33395	24.14016	24.10917					1.6826E-109	243570000	8	4	4	2	4	3	5	5	5	4	4	14.7	NaN	8	7.3	4.3	7.3	5.9	10.1	9.9	9.5	8.1	7.7	0.0568566839792816	-0.0524131774902337	YHR074W	YHR074W
23.25192	20.70202	20.28976	19.12181	22.29041	19.84714	18.32173	18.24299	17.85478	19.63466				+	4.9289E-08	16824000	3	2	1	0	0	1	0	0	0	0	0	16.8	NaN	10.9	6	0	0	4.9	0	0	0	0	0	1.64152552494123	2.35092468261719	YHR081W	YHR081W
21.84514	21.50019	18.82379	21.53227	19.6287	21.11223	20.93027	21.05232	18.71569	19.28063					2.3804E-14	16206000	1	1	1	0	1	0	1	1	1	0	0	7.2	12075	7.2	7.2	0	7.2	0	7.2	7.2	7.2	0	0	0.232222892757931	0.447789764404298	YHR085W	YHR085W
24.56395	24.21505	23.28207	24.39983	24.85	21.11566	23.30271	23.53315	22.2965	22.9555				+	7.723E-41	144900000	7	4	3	2	3	5	1	2	3	1	1	24.7	NaN	17.6	12.9	9.5	13.2	17.3	5.1	9.5	11.9	4.4	4.4	1.88683847987433	1.62147560119629	YHR088W	YHR088W
23.62031	26.39704	23.26084	23.78177	26.17881	18.0978	22.81968	25.72933	25.26474	25.93301					3.4819E-25	369110000	3	1	2	1	1	1	0	1	1	2	1	19.5	NaN	6.3	14.1	6.3	6.3	6.3	0	6.3	6.3	11.7	6.3	0.279658682273319	1.0788387298584	YHR089C	YHR089C
25.7257	25.12313	25.05408	24.62611	25.28796	25.34611	25.30173	24.07382	25.24035	24.69663					9.8773E-124	362230000	15	10	5	8	5	6	7	9	4	7	4	22.1	NaN	15.1	8.3	11.5	8.5	10.4	12.3	13.5	8.3	9.3	8.3	0.331951654328388	0.231668853759764	YHR098C	YHR098C
22.15866	19.99964	22.72336	19.44399	22.68541	17.83332	20.42019	20.61576	18.34704	20.45457					4.7207E-16	21362000	4	2	0	3	0	3	0	1	1	0	0	1.3	NaN	0.6	0	1	0	0.9	0	0.3	0.3	0	0	1.11697550916536	1.86803817749023	YHR099W	YHR099W
26.85804	26.99118	27.08507	26.92479	26.88262	25.82525	25.92603	26.39909	25.02517	26.09067				+	1.0665E-95	965840000	13	7	5	7	5	6	4	6	7	6	5	38.2	NaN	24.5	18	25.7	17.4	21.1	15	21.4	24.8	20.5	18	2.81951385733751	1.09509735107422	YHR104W	YHR104W
25.11255	22.84535	25.74073	23.11388	24.59747	24.44884	25.22898	25.11732	24.85481	24.30055					4.2196E-131	283970000	11	6	2	5	2	5	4	5	5	5	4	33.4	NaN	16.7	7.4	16.2	7.4	22.1	13.3	18.4	17.7	16.2	16.2	0.381330521854396	-0.508103942871095	YHR107C	YHR107C
22.32235	24.09208	23.87933	18.47677	24.30689	19.18608	23.15261	18.68307	21.27175	22.1728					8.9913E-117	73364000	5	2	2	3	0	3	0	1	0	0	2	12.3	NaN	6	4.6	7.7	0	7.9	0	2.7	0	0	4.8	0.602280740964924	1.72222175598144	YHR108W	YHR108W
21.60363	20.74761	20.50804	21.58072	20.42152	21.0484	18.15967	20.98975	17.51122	19.53885					4.8167E-07	13470000	2	1	0	1	1	1	1	0	1	0	0	4.1	NaN	1.8	0	2.3	1.8	2.3	1.8	0	1.8	0	0	1.0882349622827	1.52272796630859	YHR111W	YHR111W
23.29137	23.43746	24.24496	23.39885	23.78955	22.8648	23.5491	23.38377	18.84039	22.82606					3.1176E-13	105360000	3	1	2	3	1	1	1	2	2	0	1	11.1	NaN	4	7.4	11.1	4	4	4	7.4	7.4	0	4	0.765781620570871	1.33961372375488	YHR112C	YHR112C
24.4279	22.93016	24.03783	25.16798	24.73892	22.30794	18.66937	19.46341	18.567	24.61622				+	3.906E-18	144390000	8	3	2	2	4	2	2	0	0	0	5	23.9	NaN	9	7.1	6.1	11.4	6.1	4.5	0	0	0	16.5	1.66065443049751	3.53577270507813	YHR113W	YHR113W
22.43476	23.45889	21.21614	22.47623	22.6049	19.38958	18.4724	19.10875	19.63293	20.89467				+	7.4871E-14	33799000	3	1	3	1	1	1	0	0	0	0	1	20.9	NaN	6.4	20.9	6.4	6.4	6.4	0	0	0	0	6.4	3.23158223348307	2.9385181427002	YHR121W	YHR121W
22.34522	19.58597	22.13207	19.91617	23.98277	21.20252	21.7725	20.28476	21.32932	17.87053					1.4974E-27	35133000	2	1	0	1	0	2	1	1	0	1	0	12.1	NaN	6.9	0	6.9	0	12.1	6.9	6.9	0	6.9	0	0.473063090043184	1.10051460266113	YHR122W	YHR122W
26.96157	28.01414	28.22945	27.63547	28.38932	27.62533	27.89076	27.31544	27.40113	28.02089					6.0426E-54	2349100000	10	3	3	6	3	7	5	5	5	6	5	51.4	NaN	15.3	16.2	27.3	17.1	37	22.2	22.2	29.6	27.3	25	0.285785472356094	0.195280075073242	YHR128W	YHR128W
20.07248	22.42501	22.06141	21.25632	22.08926	21.32482	21.37999	21.68179	20.89371	17.50263					7.4526E-08	28746000	2	1	2	1	1	1	1	2	1	1	0	3.7	NaN	3.7	3.7	3.5	3.5	3.5	3.5	3.7	3.5	3.5	0	0.554460920520713	1.02430763244629	YHR132C	YHR132C
21.18259	21.77169	21.35794	21.33816	20.92904	21.37984	20.97456	20.7854	21.35359	20.98565					1.0963E-17	24648000	3	1	2	1	1	1	1	1	1	2	1	32.5	NaN	14.9	24.6	14.9	14.9	7.9	14.9	14.9	14.9	24.6	14.9	0.59146692813904	0.220075607299805	YHR138C	YHR138C
26.44732	27.46987	26.53411	25.89954	28.25458	25.28122	26.56641	25.89989	25.68736	26.8429					6.9087E-08	1134600000	3	1	3	1	1	1	1	2	1	1	1	16	NaN	7.5	16	7.5	7.5	7.5	7.5	15.1	7.5	7.5	7.5	0.899406177546791	0.865528106689453	YNL162W;YHR141C	YNL162W;YHR141C
24.39323	23.29782	24.79694	24.46905	24.41183	25.03444	24.33094	23.52731	23.36773	23.48099					4.7186E-54	197130000	3	2	1	2	1	1	2	1	1	1	2	51.4	NaN	41.4	28.6	38.6	28.6	28.6	38.6	28.6	28.6	28.6	41.4	0.346975134122674	0.32549247741699	YHR143W-A	YHR143W-A
24.29102	24.11004	23.87305	24.74561	25.9324	22.71085	23.25825	24.34719	23.5041	22.60966				+	1.4855E-76	202700000	9	4	3	3	4	8	4	3	4	4	2	32	NaN	13.5	9.7	9.2	10.5	29	13.5	9.9	10.8	13.3	5.6	1.57632322171113	1.30441436767578	YHR146W	YHR146W
20.75148	20.57626	19.29454	19.86591	21.5255	19.21141	19.37144	19.36743	19.48107	17.54862				+	3.7699E-13	9320000	5	2	2	0	1	2	1	1	0	1	0	4.2	NaN	1.6	1.6	0	0.9	1.8	0.9	0.9	0	0.9	0	1.54205940457684	1.40674552917481	YHR158C	YHR158C
26.57874	26.87373	25.67072	26.91171	25.9225	26.23907	26.4419	26.14458	25.81531	26.4654					1.8973E-54	862710000	10	7	6	3	6	4	5	5	5	6	5	59.8	NaN	41.8	28.5	14.9	29.3	26.5	24.9	31.7	24.9	43	24.1	0.252802394172595	0.170226669311525	YHR163W	YHR163W
24.20441	23.38903	25.11494	23.48038	24.90793	23.19351	23.26828	24.29866	22.44337	24.9771					6.7938E-160	188900000	9	2	2	3	2	5	3	2	4	1	6	22.4	NaN	4.8	4.8	7.5	4.8	12.7	7.5	6	9.7	3.3	16.4	0.473165272594359	0.583155822753906	YHR170W	YHR170W
33.3514	33.62429	33.50107	33.76633	33.76109	33.35298	33.34202	33.27058	32.67743	33.45745				+	0	116410000000	12	11	10	12	12	10	12	11	12	12	11	79.9	NaN	66.6	68.6	63.6	72.1	76.2	71.2	70.9	79.6	79.9	68	1.35144806613728	0.380744171142581	YHR174W	YHR174W
29.05318	29.27382	29.29108	29.98699	28.95541	28.82138	28.54525	28.23991	28.61747	29.06602				+	7.841E-233	5604500000	20	10	12	13	15	14	12	13	10	9	11	61.8	NaN	29.8	49.2	34.2	54.2	43.5	37.8	35.2	34.8	29.5	42.2	1.68580793840775	0.654088592529295	YHR179W;YPL171C	YHR179W
31.27375	31.37052	31.49929	31.497	31.46319	30.64384	30.87306	30.90203	30.69029	31.01312				+	0	23950000000	28	22	21	20	24	17	20	24	21	20	22	65	NaN	50.5	51.9	49.1	55.4	47.6	50.1	54.8	49.7	48.1	55.4	4.08700606217981	0.596282958984375	YHR183W;YGR256W	YHR183W
20.28339	17.92679	21.67504	20.67498	20.63013	21.20973	19.1841	21.15623	21.54232	17.52933					3.1237E-06	11165000	1	0	0	1	0	0	1	0	1	1	0	3.9	803	0	0	3.9	0	0	3.9	0	3.9	3.9	0	0.0402773450964007	0.113724517822266	YHR187W	YHR187W
27.27364	27.32843	27.38722	28.66479	28.8802	28.07097	28.38146	27.09989	27.94754	27.55501					1.8254E-67	2657500000	8	4	3	4	7	6	3	5	3	3	4	59.8	NaN	37.4	29.3	39.1	51.7	47.7	29.9	39.1	29.3	29.9	33.9	0.0836972132680123	0.0958831787109347	YHR193C	YHR193C
22.46396	20.22695	23.35097	19.4965	19.17723	21.37857	22.75693	17.69617	22.23213	17.95926					1.2708E-11	31225000	3	1	0	3	0	0	1	2	0	1	0	5.6	NaN	1.7	0	5.6	0	0	1.2	3	0	1.2	0	0.153412821772669	0.538514328002929	YHR196W	YHR196W
20.45091	18.77179	21.39409	21.73863	23.19269	20.53792	21.03792	17.32761	18.33142	21.85723					1.3024E-29	24750000	7	1	1	1	1	2	1	1	0	0	2	13.2	NaN	1.4	1.4	2.5	1.4	3.9	1.8	1.8	0	0	3.1	0.546594604913597	1.29120559692383	YHR197W	YHR197W
24.25983	25.85012	25.33139	24.94637	25.45042	24.89477	25.43555	24.72213	22.34028	24.69456					3.9642E-72	337690000	6	2	3	4	3	3	2	3	4	1	2	29.9	NaN	11.9	13.8	20.1	16.8	17.5	11.9	16.8	22.4	4.9	9	0.608437984320229	0.750168991088866	YHR200W	YHR200W
22.19934	22.83156	23.67799	21.99113	19.64379	23.04014	23.22822	23.23498	23.98876	22.00034					7.6625E-52	79036000	6	1	1	3	1	0	2	2	2	4	2	22.2	NaN	2.8	2.8	11.1	5.3	0	7.1	8.3	8.1	16.1	8.3	0.689315244855546	-1.02972755432129	YHR201C	YHR201C
29.98264	29.91997	30.45856	30.20268	30.67202	29.11093	29.43527	29.88148	29.51858	30.49933					1.4099E-106	11080000000	15	8	9	10	10	11	9	9	9	9	11	52.9	NaN	28.4	34.9	41.4	35.2	43.3	31.8	31.8	35.6	30.3	41.8	1.1080099824696	0.558054733276368	YJR145C;YHR203C	YJR145C;YHR203C
22.14607	19.98203	20.08018	17.81327	20.42242	21.71016	20.41287	17.37368	21.25972	18.41256					0.00050147	13014000	2	2	1	0	0	0	2	1	0	1	0	3.5	NaN	3.5	2.4	0	0	0	3.5	2.4	0	1.1	0	0.086234666219839	0.254998779296876	YHR205W	YHR205W
27.99367	28.26924	28.12253	28.56696	27.88122	27.30617	27.37194	27.763	27.21956	27.55369				+	2.1588E-219	2448600000	12	8	10	9	8	8	10	9	6	8	8	45.8	NaN	34.6	42	34.9	37.9	37.9	37.9	37.9	29	34.4	34.4	2.81742717009276	0.72384948730469	YHR208W	YHR208W
23.88334	22.76146	22.40307	22.8951	23.1604	22.55408	21.97537	22.33418	21.86642	22.6651				+	2.3387E-260	71349000	2	2	1	1	1	1	1	1	1	1	1	22.4	NaN	16.4	19.1	17	19.1	19.1	21	17.6	15.5	18.9	12.2	1.45292852332823	0.741644668579099	YHR216W;YAR073W	YHR216W;YAR073W
21.93636	22.47249	19.8155	21.41602	21.67805	21.2815	21.08648	17.35437	21.46901	22.00987					2.1622E-10	27888000	3	1	1	0	1	1	1	1	0	2	1	50.7	NaN	18.8	18.8	0	14.5	14.5	14.5	18.8	0	36.2	18.8	0.386808005571331	0.823437881469726	YIL002W-A	YIL002W-A
22.39186	18.61066	19.9812	21.4705	21.95727	21.51749	21.12368	21.36078	18.80935	21.34218					2.4451E-20	21869000	3	1	0	1	1	2	1	0	1	0	1	16.7	NaN	5.1	0	6	5.1	11.2	5.1	0	5.6	0	5.1	0.0205177785770808	0.0516006469726555	YIL010W	YIL010W
23.46201	23.71952	23.42688	23.15752	24.03716	22.24893	22.53519	23.35165	22.28187	23.49045				+	2.7485E-48	101870000	4	1	2	2	2	4	1	1	2	1	2	10.6	NaN	2.7	5.5	4.8	5.5	10.6	2.7	2.7	5.5	2.7	5.5	1.46743124873127	0.779003906250001	YIL015W	YIL015W
25.23114	24.26549	21.24806	21.22618	24.3009	22.61093	23.08682	22.91457	22.78509	20.60132					1.603E-18	117200000	6	2	3	1	1	2	1	1	2	1	1	28.7	NaN	9.6	12.6	2.7	3.1	7.7	5.4	5.4	15.3	5.4	5.4	0.400050124663284	0.854609680175781	YIL020C	YIL020C
23.70409	23.84326	24.18767	24.44177	23.8607	22.14149	21.39284	22.27923	22.19734	22.75894				+	3.7265E-82	110220000	6	2	2	4	3	5	2	1	2	2	1	17.2	NaN	5.1	5.1	11.4	8.1	15.5	5.1	3.5	5.1	5.1	3.5	4.03498322536546	1.85353088378906	YIL022W	YIL022W
25.52746	25.97417	26.06932	25.86025	25.20959	25.49573	24.92021	25.4206	24.84326	25.58772					3.3168E-31	488910000	8	3	3	5	4	3	5	2	4	2	5	21.4	NaN	7	7.9	10.8	8.4	7.2	10.3	4.6	9.6	4.6	13.7	1.19055595929022	0.474653244018555	YIL033C	YIL033C
22.70506	24.62561	25.34648	25.25785	25.49103	22.64377	21.31091	24.29684	23.84546	25.11442					2.7945E-49	243830000	5	2	3	3	4	3	2	1	4	3	4	23.3	NaN	8.4	15.7	13.9	20.2	15.7	8.4	3.5	18.8	15.7	20.2	0.748267573734163	1.24292640686035	YIL034C	YIL034C
22.74357	19.11746	22.60806	22.96452	20.1601	20.72742	22.70145	17.78505	17.95559	22.41767					2.3477E-06	35760000	3	1	0	1	2	0	1	1	0	0	1	8.3	NaN	4	0	2.4	6.5	0	1.9	4	0	0	4	0.411120494295106	1.20130767822265	YIL035C	YIL035C
22.05162	22.11315	21.38953	21.94288	23.15159	22.48773	20.54028	18.23915	21.19827	23.26871					5.0503E-28	44898000	6	2	1	1	1	2	2	1	0	2	2	18.7	NaN	7.2	2.9	2.2	2.9	8.3	8	4.3	0	3.6	7	0.50273779315825	0.982928466796878	YIL036W	YIL036W
22.11267	22.29734	23.10671	21.68398	22.6461	21.13232	19.69279	18.88908	18.84794	18.75645				+	1.3908E-54	32758000	9	3	2	4	2	3	3	1	1	1	0	13.3	NaN	4.8	2.5	6.9	3.8	4.3	3.2	1.8	1.8	1.8	0	3.3397592596519	2.90564384460449	YIL038C	YIL038C
27.17731	26.97367	27.28321	27.47321	27.07408	27.01627	27.15933	26.8208	27.16327	26.86112					5.294E-120	1450900000	10	6	7	7	8	6	8	7	6	8	8	37.1	NaN	26.4	29.8	30.1	32.8	26.7	32.8	29.4	26.1	32.8	30.7	0.900410176051843	0.192138290405275	YIL041W	YIL041W
22.14728	23.30814	21.86541	22.51446	23.54298	22.21904	22.31404	22.83119	21.54618	23.17463					1.1567E-53	67154000	3	2	1	1	2	1	1	2	1	1	1	13.8	NaN	9.7	4	5	9.7	4	4	9.7	4	5	4	0.249800788947341	0.258634567260742	YIL044C	YIL044C
29.00969	28.45963	28.83349	29.07931	29.18985	28.43301	28.94059	28.41764	28.5683	28.39607					2.8358E-114	4555000000	6	6	5	4	5	5	4	5	4	5	4	60	NaN	60	52.4	44.8	52.4	52.4	46.2	53.8	44.8	52.4	46.2	1.24590333934455	0.363273620605469	YIL051C	YIL051C
30.30813	30.70248	30.22055	30.2518	30.88903	30.12349	30.03223	29.94182	30.06059	30.37223				+	2.5365E-125	13403000000	11	9	9	8	7	7	6	9	7	7	8	61.6	NaN	55.2	53.2	53.2	50.4	46.8	42.4	53.2	50.4	53.2	48.4	1.36446857767425	0.368326950073243	YIL053W	YIL053W
24.21971	23.35205	24.38726	23.76111	23.92868	23.47704	23.64933	23.76355	23.97509	22.74174					8.1676E-22	144950000	3	3	2	3	2	2	2	3	3	2	2	40.3	NaN	40.3	32.5	40.3	32.5	22.1	32.5	40.3	40.3	32.5	22.1	0.744569256956856	0.408411407470705	YIL062C	YIL062C
22.96323	23.898	23.75348	23.03213	22.05258	22.67767	19.95088	22.6748	21.96508	21.92158					3.0665E-124	72350000	5	1	3	4	1	1	2	0	1	1	1	20.8	NaN	4.9	11.3	18	4.9	4.6	8.6	0	4.9	4.9	4.9	1.21223769972811	1.30188140869141	YIL063C	YIL063C
26.01659	25.66836	25.75471	25.29821	27.06147	22.76782	22.60352	23.11189	22.20123	22.18522				+	6.5501E-46	391320000	4	2	3	2	2	3	1	1	1	1	1	20.7	NaN	10.9	16.9	10.9	10.9	14.7	6.8	6.8	6.8	6.8	6.8	4.99764774430662	3.38593101501465	YIL070C	YIL070C
24.65009	23.36333	24.68731	24.63489	25.14985	24.0814	24.37053	24.37305	22.94306	23.80341					7.0035E-181	211290000	5	2	2	3	2	2	2	2	4	2	2	33.7	NaN	20.9	23.9	25.2	23.9	15.6	15.8	15.6	22.6	18.6	18.3	0.738165561379133	0.58280334472656	YIL074C	YIL074C
27.16653	27.40544	27.58276	27.54252	26.94637	26.23929	27.20648	27.05206	26.32531	26.62087				+	1.3363E-101	1414800000	20	12	9	11	10	7	8	15	12	9	9	20.1	NaN	11.2	10.1	12.1	10.5	7.6	8	16.4	13.3	9.4	9.4	1.65022066435373	0.639921569824221	YIL075C	YIL075C
25.15441	24.76542	24.98724	26.27854	24.91406	26.03078	24.82002	25.75801	24.46905	24.39277					3.2854E-137	412310000	7	5	4	4	6	3	6	4	5	4	3	31.8	NaN	25.3	19.9	19.9	28.7	13.5	24.3	17.9	21.3	16.6	13.5	0.108499265207699	0.125809097290038	YIL076W	YIL076W
29.48314	29.57243	29.94321	29.47854	30.32935	29.08078	29.11607	29.29673	28.96596	28.61824				+	3.4849E-277	7423800000	30	20	19	20	14	22	19	17	17	19	16	45.1	NaN	33.5	33.1	30.9	24.8	33.7	30.5	25.5	27	30.4	28.2	2.23316947047838	0.745777893066407	YIL078W	YIL078W
23.01517	23.47988	23.50482	21.91181	23.97815	21.27327	18.21212	22.51031	18.39683	22.22376				+	5.4012E-17	65957000	5	2	2	4	1	3	1	0	2	0	1	19.2	NaN	5.8	8.5	16.4	3	8.5	5.5	0	8.5	0	3	1.5489878453656	2.65470886230469	YIL083C	YIL083C
19.13087	18.92162	19.89884	20.14678	21.96969	20.33167	20.40821	18.58364	20.62961	20.45564					2.3158E-12	8440500	2	0	1	0	0	1	1	1	0	1	0	3.5	NaN	0	1.4	0	0	2.1	2.1	2.1	0	2.1	0	0.0361611549525115	-0.0681976318359396	YIL091C	YIL091C
22.9027	22.11687	22.69549	22.39142	22.90174	21.65757	21.92074	21.13082	21.84934	20.95098				+	8.2952E-12	47900000	1	1	1	1	1	1	1	1	1	1	1	4.2	5205	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	4.2	2.66053495826017	1.09975051879883	YIL093C	YIL093C
26.03187	26.76623	26.25591	26.4092	27.37609	25.7754	26.42822	26.35721	26.1547	26.44766					6.028E-100	926120000	7	5	5	5	5	6	5	5	5	6	6	23.5	NaN	16.7	17.5	16.7	17.5	20.2	17.5	17.8	17.5	21	19.9	0.613561337513942	0.335219573974609	YIL094C	YIL094C
21.41013	20.86703	20.9085	20.91138	21.08894	19.09982	17.94923	20.28584	18.64635	20.78101				+	2.6344E-29	11114000	2	2	1	0	1	2	0	0	0	1	1	10.2	NaN	10.2	4.8	0	4.8	10.2	0	0	0	5.4	4.8	1.8800773206346	1.68474235534668	YIL106W	YIL106W
24.88497	23.66351	25.45322	25.82369	25.62081	25.35239	25.97539	25.52411	25.15927	23.99239					6.9814E-108	412420000	12	5	4	3	4	5	6	7	5	4	4	14.8	NaN	6.7	5.3	4.4	5.9	6.8	8	9.5	7.2	5.6	5.5	0.0795033772306682	-0.111471176147461	YIL109C	YIL109C
23.04257	23.4902	23.22193	23.65665	24.28369	23.41674	23.67648	23.50882	23.55964	24.14305					5.0989E-102	131290000	11	3	3	3	3	6	4	5	5	6	6	12.4	NaN	2.6	3.4	3.4	4.5	7.4	5	6	6.2	7.1	7.7	0.195212539642148	-0.121935653686524	YIL115C	YIL115C
24.04643	25.18321	24.03607	24.42066	24.8411	22.15854	24.00898	23.92651	23.85785	23.56987				+	4.2532E-40	190300000	5	1	3	2	1	3	1	2	1	2	1	16.1	NaN	3.9	9.6	6	3.9	8.8	3.9	7.5	3.9	7.5	3.9	1.38780689536462	1.00114555358887	YIL116W	YIL116W
22.8836	19.62927	20.91794	22.09417	20.24269	21.62756	19.29382	21.59819	19.17922	20.05245					4.7496E-08	20612000	2	2	0	1	1	0	1	0	1	0	0	9.5	NaN	9.5	0	3.9	5.6	0	5.6	0	5.6	0	0	0.461378615582703	0.803288269042969	YIL118W	YIL118W
26.09521	26.51971	25.95533	26.33799	26.29237	24.86599	25.47988	25.32272	25.24963	25.66343				+	2.6937E-83	612350000	13	9	9	8	9	8	5	8	6	8	6	16.8	NaN	13.4	12.8	12.1	13.5	10.7	8.4	11.8	9.4	12.1	9.4	3.28481571411826	0.923792266845702	YIL125W	YIL125W
20.14151	22.08109	21.88073	21.80605	21.64333	18.40636	19.49609	21.12477	18.82362	22.1311					1.5335E-05	22120000	2	0	1	1	1	1	0	0	1	0	1	1.9	NaN	0	1.1	1.1	1.1	1.1	0	0	0.9	0	1.1	1.04105913139578	1.51415214538574	YIL128W	YIL128W
26.05992	26.12201	27.7835	26.72312	26.8411	25.64724	26.17468	25.7895	25.82004	25.46725				+	1.0256E-115	896950000	7	5	6	6	6	4	5	5	3	6	3	48.2	NaN	36.2	33.2	33.2	40.2	28.1	32.2	27.1	30.7	32.7	26.1	1.62494038504618	0.926187896728518	YIL133C	YIL133C
19.69505	21.55786	19.02478	18.90054	21.18483	18.63198	18.9734	21.55107	18.69887	17.50617					1.8514E-13	8268300	2	1	0	1	1	2	0	1	2	1	0	5.3	NaN	3	0	3	3	5.3	0	3	5.3	3	0	0.550737624591309	1.00031242370606	YIL135C	YIL135C
24.48241	24.50791	23.57992	24.07586	24.94628	23.59855	22.68936	24.12629	23.04285	23.95003				+	5.3594E-112	172470000	8	5	4	3	5	6	4	3	5	4	3	11.1	NaN	6.3	5.2	4.1	6.3	8.9	4.7	3.9	6.2	6.4	4.4	1.33319229715403	0.837060928344727	YIL137C	YIL137C
24.9522	25.39963	27.43293	24.10189	27.05982	23.02312	24.12471	24.0328	24.26148	24.74965				+	2.33E-216	508120000	10	4	2	7	4	5	1	3	4	3	3	64	NaN	26.1	19.3	48.4	31.7	37.3	7.5	26.1	28.6	25.5	28	1.45007517854072	1.75094337463379	YIL138C	YIL138C
20.09455	20.39171	19.85189	18.67052	21.24334	19.41297	19.92874	19.88193	19.95787	18.43907					0.0025179	3834100	1	1	0	0	0	0	1	1	0	1	0	1.3	10373	1.3	0	0	0	0	1.3	1.3	0	1.3	0	0.481214295106439	0.526285934448243	YIL140W	YIL140W
26.33608	27.19046	25.85215	25.90541	27.60322	26.84302	27.40998	27.37791	26.3657	27.45537					8.7224E-228	1308800000	19	8	8	7	6	10	11	9	9	9	7	45.5	NaN	19.5	19.9	20.5	15.6	24.1	29.8	25.2	21.1	21.8	13.9	0.607883599464895	-0.512929534912111	YIL142W	YIL142W
25.62414	25.50503	23.52109	25.01474	24.08966	19.66785	26.10588	24.53368	20.00273	24.35326					3.8097E-97	281900000	2	2	1	1	1	1	1	2	1	0	2	54.7	NaN	28.1	34.4	44.5	14.8	43.8	22.7	29.7	34.4	26.6	28.1	0.658706436757501	1.81825294494629	YKR094C;YIL148W;YLL039C	YKR094C;YIL148W;YLL039C
18.67525	26.95327	27.30182	21.67947	20.19617	17.81418	19.20808	27.29824	19.08298	26.82068					0.0030087	582320000	1	0	1	1	1	0	0	0	1	0	1	0.7	11560	0	0.7	0.7	0.7	0	0	0	0.7	0	0.7	0.12812111176903	0.916361999511718	YIL149C	YIL149C
22.77078	22.55929	22.6756	18.50705	23.45023	18.27315	18.51881	22.34608	22.04557	19.78755					6.7182E-19	41157000	4	2	1	2	0	3	0	0	1	1	0	7.7	NaN	3.9	2.3	4.1	0	6	0	0	2.3	2.3	0	0.738272941849198	1.79835777282715	YIL162W	YIL162W
21.9456	24.27597	20.72115	21.72276	21.05766	18.77055	24.80612	17.33116	17.40733	18.50791					1.2245E-13	57150000	2	1	1	0	1	0	0	2	0	0	0	9.6	NaN	4.8	4.8	0	4.8	0	0	9.6	0	0	0	0.889909278811923	2.58001670837402	YIR001C	YIR001C
19.1461	18.66281	19.81338	19.0212	21.99314	20.91386	21.46084	18.26571	20.67866	20.30385					5.1999E-20	10715000	4	0	0	0	0	2	1	2	0	1	0	12.5	NaN	0	0	0	0	6.5	3.5	6	0	3.5	0	0.317096890569735	-0.59725914001465	YIR003W	YIR003W
24.95109	24.37729	25.20631	24.1206	24.97636	22.95287	23.98659	23.86401	22.95314	20.02364				+	8.5118E-167	193390000	17	8	5	5	6	6	2	5	4	5	1	18.2	NaN	9.3	4.9	5.1	6.1	6.8	1.7	5.3	3.5	4.5	1	1.52882839079023	1.97028198242187	YIR006C	YIR006C
